stop_point_id,lat,lon,name,stop_point_type
StopPoint:node:283405002,9.968611,76.2450662,Fort Kochi Junkar Jetty,StopPosition
StopPoint:node:622522403,9.9531189,76.38995369999999,Sasthammugal,Platform
StopPoint:node:622536423,9.9390109,76.41855749999999,Kuppethazham,Unknown
StopPoint:node:622536426,9.933668899999999,76.42331039999999,Thiruvaniyoor Kochangadi,Unknown
StopPoint:node:622536442,9.9436977,76.4012304,Tondanpara,Unknown
StopPoint:node:622536446,9.9397137,76.4052537,Kumbhappilly,Unknown
StopPoint:node:622536448,9.942012199999999,76.4105538,Vandipetta,Unknown
StopPoint:node:622536449,9.9397824,76.4133647,Valavu,Unknown
StopPoint:node:622536458,9.9474175,76.39529739999999,Vennikkulam,Unknown
StopPoint:node:692884041,9.9738395,76.2445432,Vypin Jetty,StopPosition
StopPoint:node:944902406,9.977936,76.334205,Labour Corner,Platform
StopPoint:node:976452403,10.0281279,76.3111133,Bus Stop,Unknown
StopPoint:node:982135818,9.9734483,76.2440927,Vypin,Platform
StopPoint:node:1049713235,10.1395161,76.1990351,,Platform
StopPoint:node:1049713241,10.1445191,76.2264466,KMK Jn,Platform
StopPoint:node:1172715264,10.1887554,76.2019783,Moothakunnam Bus Stop,Platform
StopPoint:node:1190898939,9.9432792,76.3740175,Thiruvankulam Junction,Platform
StopPoint:node:1497681417,10.0444473,76.3964925,Pazhanganad,Platform
StopPoint:node:1525970903,10.073023599999999,76.3991994,Confident ATIK III,Unknown
StopPoint:node:1725434727,9.890457999999999,76.3120916,Kumbalam South,Unknown
StopPoint:node:1755918981,10.034550999999999,76.2720485,,Unknown
StopPoint:node:2101122696,9.900362699999999,76.3844498,"Mulanthuruthy, Pallithazham",Unknown
StopPoint:node:2101122702,9.9016755,76.3931108,"Mulanthuruthy, Karavatte Kurish",Unknown
StopPoint:node:2101122705,9.9137798,76.4120149,Thuppampady,Unknown
StopPoint:node:2101136078,9.920638799999999,76.4086246,Thalacode,Unknown
StopPoint:node:2101143428,9.9145566,76.4215018,Vettikkal,Unknown
StopPoint:node:2305959080,10.2024999,76.4134492,Canal Stop Kidangoor,StopPosition
StopPoint:node:2376855121,9.9517396,76.3583973,Karingachira,Platform
StopPoint:node:2376866788,9.9469449,76.3533443,Railway Station,Unknown
StopPoint:node:2391343016,9.952093,76.25364139999999,Koovapadam Bus stop,Unknown
StopPoint:node:2391343017,9.952029,76.25236009999999,Cochin College Bus stop,Unknown
StopPoint:node:2391343018,9.9520508,76.25572249999999,,Unknown
StopPoint:node:2391343019,9.951912,76.2576833,Panayappally,Unknown
StopPoint:node:2391343020,9.9577841,76.25795959999999,Aanavathil Bus stop,Unknown
StopPoint:node:2391343021,9.9557512,76.2579174,,Unknown
StopPoint:node:2391343022,9.9593644,76.258061,Star junction bus stop,Unknown
StopPoint:node:2391343057,9.9494846,76.2557001,Panayappally bus stop,Unknown
StopPoint:node:2449090672,10.1749423,76.35292129999999,Anappara Bus Stop,Platform
StopPoint:node:2580734253,10.0054992,76.3128382,PipeLine Junction,Unknown
StopPoint:node:2580734650,9.9989727,76.3137629,EMC Bus Stop,Unknown
StopPoint:node:2580734682,9.999015,76.3140901,EMC Bus Stop,Unknown
StopPoint:node:2635014700,9.9310677,76.2675028,Bus to Alleppey,Platform
StopPoint:node:2712142797,9.9783505,76.276848,Menaka,Platform
StopPoint:node:2712147178,9.9681464,76.2880627,Ernakulam South,Platform
StopPoint:node:2744190416,10.0189218,76.2748891,Vaduthala Valavu,Platform
StopPoint:node:2744199202,10.0137755,76.276927,Don Bosco,Platform
StopPoint:node:2744199206,10.013149499999999,76.2767624,Vaduthala Gate,Platform
StopPoint:node:2744199210,10.006632999999999,76.2782682,Lourde's Hospital,Unknown
StopPoint:node:2744199215,10.0067048,76.27843399999999,Lourde's Hospital,Unknown
StopPoint:node:2744203515,10.0012253,76.2795398,Pachalam,Unknown
StopPoint:node:2744203523,10.001257599999999,76.2790758,Pachalam,Platform
StopPoint:node:2744203531,9.9959574,76.2805364,Ayyappankavu,Unknown
StopPoint:node:2780838959,9.9941444,76.2918207,എറണാകുളം കലൂർ ബസ് സ്റ്റാന്റ്,Platform
StopPoint:node:2780917203,10.1449847,76.23202309999999,Kerala State Road Transport Corporation Bus Stand,Platform
StopPoint:node:2858643010,10.1674294,76.2130069,Chakamarassery Bus Stop,Unknown
StopPoint:node:2858643013,10.1564108,76.2135426,Pattanam Kavala,Unknown
StopPoint:node:2858684139,10.181785,76.2047335,Labour Junction,Unknown
